stroke_time:sql;stroke_lat:d;stroke_lon:d;stroke_current:kA
2022-11-12T00:05:57Z;-2.54180;-59.42770;-999
2022-11-12T00:05:59Z;-5.12810;-72.69660;-999
2022-11-12T00:06:00Z;-3.49840;-71.35740;-999
2022-11-12T00:06:01Z;-3.90270;-71.64340;-999
2022-11-12T00:06:01Z;6.17510;-64.75150;-999
2022-11-12T00:06:02Z;-30.68340;-64.01250;-999
2022-11-12T00:06:02Z;-11.47610;-49.25400;-999
2022-11-12T00:06:02Z;-10.95700;-48.99880;-999
2022-11-12T00:06:04Z;8.72890;-72.07800;-999
2022-11-12T00:06:04Z;-17.65390;-44.65000;-999
2022-11-12T00:06:06Z;0.00660;-68.16920;-999
2022-11-12T00:06:06Z;-0.14390;-68.28570;-999
2022-11-12T00:06:07Z;-11.92560;-52.01870;-999
2022-11-12T00:06:09Z;-12.13560;-55.69020;-999
2022-11-12T00:06:09Z;-13.23770;-56.40980;-999
2022-11-12T00:06:11Z;-11.83020;-55.24040;-999
2022-11-12T00:06:13Z;-13.12050;-57.00940;-999
2022-11-12T00:06:15Z;-12.33730;-55.87280;-999
2022-11-12T00:06:16Z;-12.32700;-55.81880;-999
2022-11-12T00:06:16Z;-0.33870;-68.25990;-999
2022-11-12T00:06:17Z;-11.99460;-48.24270;-999
2022-11-12T00:06:18Z;-13.23650;-48.97240;-999
2022-11-12T00:06:18Z;-4.24460;-69.77150;-999
2022-11-12T00:06:18Z;6.26030;-62.58820;-999
2022-11-12T00:06:21Z;-13.16590;-49.12780;-999
2022-11-12T00:06:23Z;-0.20220;-77.12560;-999
2022-11-12T00:06:24Z;13.08510;-47.43550;-999
2022-11-12T00:06:25Z;-3.92030;-68.84250;-999
2022-11-12T00:06:25Z;-4.62590;-69.20480;-999
2022-11-12T00:06:25Z;-4.63730;-69.21690;-999
2022-11-12T00:06:25Z;-3.68390;-68.62960;-999
2022-11-12T00:06:26Z;-9.90220;-50.78080;-999
2022-11-12T00:06:26Z;11.01960;-72.72380;-999
2022-11-12T00:06:28Z;7.62240;-66.16040;-999
2022-11-12T00:06:28Z;8.58020;-65.48830;-999
2022-11-12T00:06:29Z;8.61920;-65.50720;-999
2022-11-12T00:06:29Z;-20.55620;-42.68100;-999
2022-11-12T00:06:29Z;-12.70630;-47.19730;-999
2022-11-12T00:06:31Z;-11.68250;-49.17690;-999
2022-11-12T00:06:31Z;-30.98910;-64.11740;-999
2022-11-12T00:06:33Z;-11.99460;-56.28690;-999
2022-11-12T00:06:34Z;-6.00790;-62.06470;-999
2022-11-12T00:06:35Z;-41.81200;-66.81200;-999
2022-11-12T00:06:36Z;11.79710;-65.26170;-999
2022-11-12T00:06:36Z;-6.51190;-48.20330;-999
2022-11-12T00:06:37Z;-2.79240;-69.34760;-999
2022-11-12T00:06:37Z;-19.82780;-44.67220;-999
2022-11-12T00:06:41Z;-4.05760;-69.69560;-999
2022-11-12T00:06:41Z;-22.34290;-43.24250;-999
2022-11-12T00:06:41Z;-21.24900;-42.64990;-999
2022-11-12T00:06:43Z;14.97900;-49.68960;-999
2022-11-12T00:06:43Z;14.94920;-49.63730;-999
2022-11-12T00:06:44Z;-0.15390;-68.23800;-999
2022-11-12T00:06:45Z;13.18480;-47.51150;-999
2022-11-12T00:06:45Z;12.98310;-47.60460;-999
2022-11-12T00:06:48Z;3.01630;-53.19600;-999
2022-11-12T00:06:48Z;-8.39200;-67.31830;-999
2022-11-12T00:06:52Z;-11.19790;-51.20410;-999
2022-11-12T00:06:52Z;-2.02240;-68.68650;-999
2022-11-12T00:06:53Z;-3.28810;-60.05610;-999
2022-11-12T00:06:53Z;-3.24150;-60.00120;-999
2022-11-12T00:07:00Z;-12.85340;-49.17020;-999
2022-11-12T00:07:00Z;-13.98000;-49.66870;-999
2022-11-12T00:07:01Z;-13.39320;-49.38340;-999
2022-11-12T00:07:01Z;-13.35800;-49.36800;-999
2022-11-12T00:07:01Z;-11.80190;-49.28910;-999
2022-11-12T00:07:03Z;-13.09140;-52.37560;-999
2022-11-12T00:07:04Z;-7.14090;-71.53150;-999
2022-11-12T00:07:07Z;5.79540;-76.41200;-999
2022-11-12T00:07:07Z;5.75540;-76.42480;-999
2022-11-12T00:07:08Z;7.77100;-20.34000;-999
2022-11-12T00:07:10Z;-11.10870;-49.76870;-999
2022-11-12T00:07:11Z;-11.50160;-46.21310;-999
2022-11-12T00:07:12Z;13.09460;-47.45340;-999
2022-11-12T00:07:12Z;13.11020;-47.43850;-999
2022-11-12T00:07:12Z;13.40350;-47.29480;-999
2022-11-12T00:07:13Z;-12.75400;-56.51540;-999
2022-11-12T00:07:13Z;-11.60550;-55.82140;-999
2022-11-12T00:07:15Z;-26.79300;-65.23700;-999
2022-11-12T00:07:18Z;11.53350;-73.44890;-999
2022-11-12T00:07:19Z;-12.83190;-52.36150;-999
2022-11-12T00:07:20Z;-0.15120;-68.21890;-999
2022-11-12T00:07:20Z;7.52020;-63.69970;-999
2022-11-12T00:07:21Z;14.60090;-84.50570;-999
2022-11-12T00:07:23Z;-1.42380;-68.67240;-999
2022-11-12T00:07:23Z;-1.31800;-68.62460;-999
2022-11-12T00:07:23Z;-13.42370;-49.23760;-999
2022-11-12T00:07:26Z;-3.28420;-60.03250;-999
2022-11-12T00:07:26Z;6.18340;-67.63050;-999
2022-11-12T00:07:27Z;-21.44200;-42.75140;-999
2022-11-12T00:07:31Z;-11.01590;-52.19760;-999
2022-11-12T00:07:31Z;5.16020;-61.91310;-999
2022-11-12T00:07:32Z;4.92560;-55.66870;-999
2022-11-12T00:07:33Z;14.70970;-53.07480;-999
2022-11-12T00:07:33Z;14.32960;-53.24960;-999
2022-11-12T00:07:33Z;14.37120;-53.18200;-999
2022-11-12T00:07:35Z;6.37500;-75.97670;-999
2022-11-12T00:07:38Z;-13.54910;-58.91510;-999
2022-11-12T00:07:40Z;6.08210;-64.64510;-999
2022-11-12T00:07:41Z;-32.63420;-65.27570;-999
2022-11-12T00:07:42Z;-19.76130;-44.42660;-999
2022-11-12T00:07:44Z;-0.30280;-68.23830;-999
2022-11-12T00:07:45Z;9.83090;-73.55700;-999
2022-11-12T00:07:48Z;-2.53890;-71.81570;-999
2022-11-12T00:07:50Z;-3.58220;-71.61730;-999
2022-11-12T00:07:50Z;-21.75640;-42.72700;-999
2022-11-12T00:07:50Z;-11.63120;-50.11020;-999
2022-11-12T00:07:50Z;-10.81390;-49.71020;-999
2022-11-12T00:07:51Z;-10.77230;-49.75720;-999
2022-11-12T00:07:51Z;-11.18530;-49.12920;-999
2022-11-12T00:07:55Z;-12.17630;-48.49660;-999
2022-11-12T00:07:55Z;-21.74970;-44.42800;-999
2022-11-12T00:07:56Z;-22.16560;-42.77530;-999
2022-11-12T00:07:58Z;-11.07490;-49.02830;-999
2022-11-12T00:07:58Z;-3.45280;-60.13350;-999
2022-11-12T00:07:58Z;-12.49550;-55.80620;-999
2022-11-12T00:07:58Z;-12.47600;-47.10980;-999
2022-11-12T00:07:58Z;-12.70040;-47.20140;-999
2022-11-12T00:07:59Z;-33.19820;-66.22140;-999
2022-11-12T00:08:00Z;5.16630;-53.59540;-999
2022-11-12T00:08:00Z;-0.40970;-68.34530;-999
2022-11-12T00:08:01Z;6.71910;-62.24460;-999
2022-11-12T00:08:01Z;6.70390;-62.33690;-999
2022-11-12T00:08:02Z;-13.80730;-53.02220;-999
